year,source,energy
2002-01-01,coal,120.680
2002-01-01,crude oil,1.737
2002-01-01,hydro,0.043
2002-01-01,natural gas,6.104
2002-01-01,nuclear,30.850
2002-01-01,wind,1.592
2003-01-01,coal,119.794
2003-01-01,crude oil,3.290
2003-01-01,hydro,0.042
2003-01-01,natural gas,4.182
2003-01-01,nuclear,30.332
2003-01-01,wind,1.249
2004-01-01,coal,118.032
2004-01-01,crude oil,2.913
2004-01-01,hydro,0.043
2004-01-01,natural gas,2.838
2004-01-01,nuclear,34.573
2004-01-01,wind,1.224
2005-01-01,coal,117.648
2005-01-01,crude oil,3.366
2005-01-01,hydro,0.039
2005-01-01,natural gas,3.881
2005-01-01,nuclear,30.097
2005-01-01,wind,1.453
2006-01-01,coal,113.556
2006-01-01,crude oil,0.174
2006-01-01,hydro,0.033
2006-01-01,natural gas,6.276
2006-01-01,nuclear,31.903
2006-01-01,wind,3.384
2007-01-01,coal,123.686
2007-01-01,crude oil,0.707
2007-01-01,hydro,0.036
2007-01-01,natural gas,7.276
2007-01-01,nuclear,35.379
2007-01-01,wind,3.932
2008-01-01,coal,116.019
2008-01-01,crude oil,0.444
2008-01-01,hydro,0.036
2008-01-01,natural gas,7.608
2008-01-01,nuclear,28.992
2008-01-01,wind,6.003
2009-01-01,biomass,0.000
2009-01-01,coal,110.013
2009-01-01,crude oil,0.412
2009-01-01,hydro,0.044
2009-01-01,natural gas,9.106
2009-01-01,nuclear,29.918
2009-01-01,wind,9.769
2010-01-01,biomass,0.185
2010-01-01,coal,110.907
2010-01-01,crude oil,0.352
2010-01-01,hydro,0.045
2010-01-01,natural gas,7.804
2010-01-01,nuclear,32.604
2010-01-01,wind,11.618
2011-01-01,biomass,0.200
2011-01-01,coal,108.010
2011-01-01,crude oil,0.193
2011-01-01,hydro,0.050
2011-01-01,natural gas,8.650
2011-01-01,nuclear,24.972
2011-01-01,wind,12.693
2012-01-01,biomass,0.196
2012-01-01,coal,95.476
2012-01-01,crude oil,0.117
2012-01-01,hydro,0.035
2012-01-01,natural gas,9.758
2012-01-01,nuclear,28.268
2012-01-01,wind,17.726
2013-01-01,biomass,0.198
2013-01-01,coal,101.566
2013-01-01,crude oil,0.174
2013-01-01,hydro,0.050
2013-01-01,natural gas,6.756
2013-01-01,nuclear,24.458
2013-01-01,wind,32.186
2014-01-01,biomass,0.202
2014-01-01,coal,98.103
2014-01-01,crude oil,0.153
2014-01-01,hydro,0.055
2014-01-01,natural gas,4.956
2014-01-01,nuclear,29.201
2014-01-01,wind,37.003
2015-01-01,biomass,0.211
2015-01-01,coal,83.912
2015-01-01,crude oil,0.165
2015-01-01,hydro,0.065
2015-01-01,natural gas,4.005
2015-01-01,nuclear,29.446
2015-01-01,solar,0.006
2015-01-01,wind,37.527
2016-01-01,biomass,0.201
2016-01-01,coal,78.804
2016-01-01,crude oil,0.097
2016-01-01,hydro,0.104
2016-01-01,natural gas,6.917
2016-01-01,nuclear,28.135
2016-01-01,solar,0.007
2016-01-01,wind,48.146
2017-01-01,biomass,0.195
2017-01-01,coal,66.158
2017-01-01,crude oil,0.186
2017-01-01,hydro,0.100
2017-01-01,natural gas,7.324
2017-01-01,nuclear,36.331
2017-01-01,solar,0.018
2017-01-01,wind,63.457
